id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Sony Xperia XZ  Platinum                                    ,  34490.00,     5.2,    2.20,    32.0,    3072,      23,    2900,     423
Philips X818 Xenium  Black                                  ,  17990.00,     5.5,    2.00,    32.0,    3072,      16,    3900,     400
ASUS ZenFone 3 Deluxe ZS550KL  Silver (90AZ01F4-M00100)     ,  31090.00,     5.5,    2.00,    64.0,    4096,      16,    3000,     400
Lenovo Phab 2 Plus (PB2-670M)  Gunmetal Gray                ,  17390.00,     6.4,    1.30,    32.0,    3072,      13,    4050,     344
Lenovo Phab 2 Pro (PB2-690M)  Gold                          ,  27990.00,     6.4,    1.80,    64.0,    4096,      16,    4050,     458
BQ Aquaris U Plus 16GB  Black Anthracite Gray               ,  10990.00,     5.0,    1.40,    16.0,    2048,      16,    3080,     293
Apple iPhone SE 128GB  Gold                                 ,  27989.80,     4.0,    1.80,     8.0,    2048,      12,    1642,     325
Apple iPhone 6s Plus 128GB  Grey                            ,  51990.00,     5.5,    1.80,     8.0,    2048,      12,    2750,     400
ASUS ZenFone 2 Laser ZE500KL 8GB  White (90AZ00E2-M01140)   ,   6990.00,     5.0,    1.20,     8.0,    2048,       8,    2070,     293
Apple iPhone SE 16GB  Silver                                ,  21990.00,     4.0,    1.80,    16.0,    2048,      12,    1642,     325
Meizu M3 Note 16GB  Silver White                            ,  11990.00,     5.5,    1.80,    16.0,    2048,      13,    4100,     400
Alcatel OT-5056D Pop 4 Plus  Slate                          ,   7273.00,     5.5,    1.10,    16.0,    1536,       8,    2500,     267
ZTE Blade L110  Orange                                      ,   2990.00,     4.0,    1.30,     8.0,    1024,       5,    1400,     233
Apple iPhone 7 Plus 32GB  Black                             ,  50992.20,     5.5,    2.37,    32.0,    3072,      12,    2900,     400
Sony Xperia XZ Dual  Mineral Black                          ,  39991.60,     5.2,    2.20,    64.0,    3072,      23,    2900,     423
Alcatel OT-5045D Pixi 4 (5")  Dark Grey                     ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Highscreen Easy L  Yellow                                   ,   6490.00,     5.0,    1.30,     8.0,    1024,       8,    3600,     293
Samsung SM-A520F Galaxy A5 (2017)  Light Blue               ,  24990.00,     5.2,    1.90,    32.0,    3072,      16,    3000,     423
Lenovo Phab 2 Pro (PB2-690M)  Silver                        ,  27990.00,     6.4,    1.80,    64.0,    4096,      16,    4050,     458
BQ Aquaris U Plus 16GB  White Gold                          ,  10490.00,     5.0,    1.40,    16.0,    2048,      16,    3080,     293
Apple iPhone SE 128GB  Rose Gold                            ,  27989.80,     4.0,    1.80,     8.0,    2048,      12,    1642,     325
Apple iPhone 6s Plus 128GB  Silver                          ,  51990.00,     5.5,    1.80,     8.0,    2048,      12,    2750,     400
Philips S616  Dark Grey                                     ,  14190.00,     5.5,    1.30,    16.0,    2048,      13,    3000,     400
Archos 50d Helium                                           ,   9290.00,     5.0,    1.20,     8.0,    1024,      13,    2100,     293
Highscreen Tasty  Rose Gold                                 ,  11190.00,     5.0,    1.30,    16.0,    3072,       8,    2400,     293
ASUS ZenFone Go ZB452KG  Black (90AX0141-M01130)            ,   4589.00,     4.5,    1.20,     8.0,    1024,       5,    2070,     217
ZTE Blade V7  Gold                                          ,   9513.00,     5.2,    1.30,    16.0,    2048,      13,    2540,     423
Apple iPhone 7 Plus 128GB  Gold                             ,  58991.40,     5.5,    2.37,     8.0,    3072,      12,    2900,     400
Sony Xperia XZ Dual  Platinum                               ,  39988.30,     5.2,    2.20,    64.0,    3072,      23,    2900,     423
